원흥관 1층 남쪽 계단,원흥관 127,2.45
원흥관 127,원흥관 128,16.39
원흥관 128,원흥관 148,4.23
원흥관 148,원흥관 1층 중앙 갈림길,5.53
원흥관 1층 중앙 갈림길,원흥관 1층 중앙 뒷문,9.62
원흥관 148,원흥관 1층 중앙 뒷문,12.35
원흥관 1층 중앙 갈림길,원흥관 1층 중앙 앞문,9.93
원흥관 1층 중앙 갈림길,원흥관 1층 중앙 계단,4.35
원흥관 1층 중앙 갈림길,원흥관 130,4.52
원흥관 130,원흥관 143,2.7
원흥관 143,원흥관 131,1.89
원흥관 142,원흥관 132,0
원흥관 131,원흥관 142,2.45
원흥관 131,원흥관 132,2.45
원흥관 133,원흥관 138,0
원흥관 142,원흥관 133,4.46
원흥관 142,원흥관 138,4.46
원흥관 132,원흥관 133,4.46
원흥관 132,원흥관 138,4.46
원흥관 133,원흥관 134,3.84
원흥관 138,원흥관 134,3.84
원흥관 134,원흥관 136,8.26
원흥관 136,원흥관 1층 북쪽 계단 갈림길,7.65
원흥관 1층 북쪽 계단 갈림길,원흥관 1층 북쪽 계단,1.82
원흥관 1층 북쪽 계단 갈림길,원흥관 1층 북쪽 입구,5.95
원흥관 1층 북쪽 계단 갈림길,원흥관 155,5.47
원흥관 157,원흥관 166,0
원흥관 155,원흥관 157,7.52
원흥관 155,원흥관 166,7.52
원흥관 157,원흥관 164,5.42
원흥관 166,원흥관 164,5.42
원흥관 2층 엘리베이터(계단),원흥관 250,6.62
원흥관 250,원흥관 2층 중앙계단,12.13
원흥관 2층 중앙계단,원흥관 240,6.79
원흥관 240,원흥관 2층 북쪽 계단,16.21
원흥관 3층 F동 남쪽 계단,원흥관 313,0
원흥관 3층 F동 남쪽 계단,원흥관 314,2.7
원흥관 313,원흥관 314,2.7
원흥관 314,원흥관 317,9.42
원흥관 317,원흥관 305,5.48
원흥관 305,원흥관 321,7.83
원흥관 321,원흥관 302,2.81
원흥관 321,원흥관 3층 별관 통로,2.81
원흥관 302,원흥관 3층 별관 통로,0
원흥관 302,원흥관 352,18.98
원흥관 3층 별관 통로,원흥관 352,18.98
원흥관 3층 별관 통로,원흥관 3층 F동 중앙 계단,18.98
원흥관 302,원흥관 3층 F동 중앙 계단,18.98
원흥관 352,원흥관 3층 F동 중앙 계단,0
원흥관 3층 F동 중앙 계단,원흥관 3층 엘리베이터(계단),7.48
원흥관 352,원흥관 3층 엘리베이터(계단),7.48
원흥관 3층 엘리베이터(계단),원흥관 325,7.33
원흥관 325,원흥관 350,3.38
원흥관 350,원흥관 347,11.37
원흥관 347,원흥관 3층 E동 중앙 계단,5
원흥관 3층 E동 중앙 계단,원흥관 332-1,4.42
원흥관 332,원흥관 341,0
원흥관 332-1,원흥관 332,7.15
원흥관 332-1,원흥관 341,7.15
원흥관 341,원흥관 336,11.02
원흥관 332,원흥관 336,11.02
원흥관 336,원흥관 3층 E동 북쪽 계단,13.12
원흥관 4층 F동 남쪽 계단,원흥관 413,0
원흥관 4층 F동 남쪽 계단,원흥관 411,3.9
원흥관 4층 F동 남쪽 계단,원흥관 415,3.9
원흥관 413,원흥관 411,3.9
원흥관 413,원흥관 415,3.9
원흥관 411,원흥관 415,0
원흥관 411,원흥관 409,4.2
원흥관 411,원흥관 417,4.2
원흥관 415,원흥관 409,4.2
원흥관 415,원흥관 417,4.2
원흥관 409,원흥관 417,0
원흥관 409,원흥관 407,3.6
원흥관 409,원흥관 419,3.6
원흥관 417,원흥관 407,3.6
원흥관 417,원흥관 419,3.6
원흥관 407,원흥관 419,0
원흥관 407,원흥관 406,2.7
원흥관 419,원흥관 406,2.7
원흥관 406,원흥관 420,0.3
원흥관 405,원흥관 421,0
원흥관 420,원흥관 405,2.4
원흥관 420,원흥관 421,2.4
원흥관 405,원흥관 404,1.5
원흥관 421,원흥관 404,1.5
원흥관 404,원흥관 403,2.7
원흥관 4층 여자 화장실,원흥관 4층 F동 중앙 계단,0
원흥관 403,원흥관 4층 여자 화장실,1.5
원흥관 403,원흥관 4층 F동 중앙 계단,1.5
원흥관 4층 여자 화장실,원흥관 4층 남자 화장실,2.7
원흥관 4층 F동 중앙 계단,원흥관 4층 남자 화장실,2.7
원흥관 4층 남자 화장실,원흥관 4층 F동 입구,5.22
원흥관 4층 엘리베이터(계단),원흥관 423,0
원흥관 4층 F동 입구,원흥관 4층 엘리베이터(계단),4.13
원흥관 4층 F동 입구,원흥관 423,4.13
원흥관 4층 엘리베이터(계단),원흥관 450,6.3
원흥관 423,원흥관 450,6.3
원흥관 450,원흥관 427,3.3
원흥관 427,원흥관 428,2.1
원흥관 428,원흥관 450,0.9
원흥관 450,원흥관 429,2.1
원흥관 429,원흥관 447,0.9
원흥관 447,원흥관 4층 E동 중앙 계단,2.7
원흥관 4층 E동 중앙 계단,원흥관 446,0.6
원흥관 446,원흥관 444,3.6
원흥관 444,원흥관 430,0.3
원흥관 430,원흥관 431,3
원흥관 431,원흥관 442,1.8
원흥관 442,원흥관 432,0.6
원흥관 432,원흥관 440,1.5
원흥관 440,원흥관 433,0.6
원흥관 433,원흥관 434,2.4
원흥관 434,원흥관 439,1.5
원흥관 439,원흥관 435,0.6
원흥관 435,원흥관 436,3.3
원흥관 436,원흥관 437,1.8
원흥관 437,원흥관 4층 E동 북쪽 계단,3
원흥관 5층 F동 남쪽 계단,원흥관 513,0
원흥관 512,원흥관 514,0
원흥관 5층 F동 남쪽 계단,원흥관 512,2.4
원흥관 5층 F동 남쪽 계단,원흥관 514,2.4
원흥관 513,원흥관 512,2.4
원흥관 513,원흥관 514,2.4
원흥관 512,원흥관 515,2.1
원흥관 514,원흥관 515,2.1
원흥관 509,원흥관 516,0
원흥관 515,원흥관 509,1.8
원흥관 515,원흥관 516,1.8
원흥관 509,원흥관 517,2.4
원흥관 516,원흥관 517,2.4
원흥관 508,원흥관 518,0
원흥관 517,원흥관 508,2.4
원흥관 517,원흥관 518,2.4
원흥관 508,원흥관 519,2.1
원흥관 518,원흥관 519,2.1
원흥관 519,원흥관 521,4.5
원흥관 521,원흥관 504,1.5
원흥관 504,원흥관 5층 F동 중앙 계단,4.8
원흥관 5층 엘리베이터(계단),원흥관 523,0
원흥관 5층 F동 중앙 계단,원흥관 5층 엘리베이터(계단),2.1
원흥관 5층 F동 중앙 계단,원흥관 523,2.1
원흥관 523,원흥관 524,2.4
원흥관 524,원흥관 525,2.1
원흥관 526,원흥관 550,0
원흥관 525,원흥관 526,2.1
원흥관 525,원흥관 550,2.1
원흥관 526,원흥관 527,3.6
원흥관 550,원흥관 527,3.6
원흥관 527,원흥관 528,2.4
원흥관 528,원흥관 529,1.8
원흥관 529,원흥관 547,0.9
원흥관 547,원흥관 5층 E동 중앙 계단,2.4
원흥관 5층 E동 중앙 계단,원흥관 530,2.1
원흥관 530,원흥관 543,2.7
원흥관 543,원흥관 531,0.3
원흥관 531,원흥관 542,2.1
원흥관 542,원흥관 532,0.3
원흥관 532,원흥관 541,2.1
원흥관 541,원흥관 533,0.3
원흥관 533,원흥관 534,2.1
원흥관 534,원흥관 527,2.4
원흥관 527,원흥관 535,1.2
원흥관 535,원흥관 536,2.1
원흥관 536,원흥관 537,2.1
원흥관 537,원흥관 5층 E동 북쪽 계단,3
원흥관 6층 F동 남쪽 계단,원흥관 613,0
원흥관 612,원흥관 614,0
원흥관 6층 F동 남쪽 계단,원흥관 612,2.4
원흥관 6층 F동 남쪽 계단,원흥관 614,2.4
원흥관 613,원흥관 612,2.4
원흥관 613,원흥관 614,2.4
원흥관 611,원흥관 615,0
원흥관 612,원흥관 611,2.4
원흥관 612,원흥관 615,2.4
원흥관 614,원흥관 611,2.4
원흥관 614,원흥관 615,2.4
원흥관 610,원흥관 616,0
원흥관 611,원흥관 610,1.8
원흥관 611,원흥관 616,1.8
원흥관 615,원흥관 610,1.8
원흥관 615,원흥관 616,1.8
원흥관 609,원흥관 617,0
원흥관 610,원흥관 609,2.7
원흥관 610,원흥관 617,2.7
원흥관 616,원흥관 609,2.7
원흥관 616,원흥관 617,2.7
원흥관 608,원흥관 618,0
원흥관 609,원흥관 608,1.8
원흥관 609,원흥관 618,1.8
원흥관 617,원흥관 608,1.8
원흥관 617,원흥관 618,1.8
원흥관 608,원흥관 609,2.1
원흥관 618,원흥관 609,2.1
원흥관 609,원흥관 619,0.6
원흥관 619,원흥관 606,1.5
원흥관 606,원흥관 620,0.6
원흥관 605,원흥관 621,0
원흥관 620,원흥관 605,2.1
원흥관 620,원흥관 621,2.1
원흥관 605,원흥관 603,4.2
원흥관 621,원흥관 603,4.2
원흥관 6층 F동 중앙 계단,원흥관 601,0
원흥관 603,원흥관 6층 F동 중앙 계단,3.9
원흥관 603,원흥관 601,3.9
원흥관 6층 F동 중앙 계단,원흥관 622,6.3
원흥관 601,원흥관 622,6.3
원흥관 6층 엘리베이터(계단),원흥관 623,0
원흥관 622,원흥관 6층 엘리베이터(계단),6.9
원흥관 622,원흥관 623,6.9
원흥관 6층 엘리베이터(계단),원흥관 624,2.4
원흥관 623,원흥관 624,2.4
원흥관 624,원흥관 625,2.1
원흥관 625,원흥관 650,2.1
원흥관 650,원흥관 626,0.3
원흥관 626,원흥관 627,3
원흥관 627,원흥관 628,2.4
원흥관 629,원흥관 647,0
원흥관 628,원흥관 629,2.4
원흥관 628,원흥관 647,2.4
원흥관 6층 E동 중앙 계단,원흥관 645,0
원흥관 629,원흥관 6층 E동 중앙 계단,3.3
원흥관 629,원흥관 645,3.3
원흥관 647,원흥관 6층 E동 중앙 계단,3.3
원흥관 647,원흥관 645,3.3
원흥관 6층 E동 중앙 계단,원흥관 644,2.4
원흥관 645,원흥관 644,2.4
원흥관 644,원흥관 630,1.2
원흥관 631,원흥관 643,0
원흥관 630,원흥관 631,2.7
원흥관 630,원흥관 643,2.7
원흥관 631,원흥관 642,1.5
원흥관 643,원흥관 642,1.5
원흥관 642,원흥관 632,0.9
원흥관 632,원흥관 641,1.2
원흥관 641,원흥관 633,1.2
원흥관 633,원흥관 634,2.7
원흥관 634,원흥관 635,2.4
원흥관 636,원흥관 639,0
원흥관 635,원흥관 636,2.4
원흥관 635,원흥관 639,2.4
원흥관 636,원흥관 637,2.4
원흥관 639,원흥관 637,2.4
원흥관 637,원흥관 6층 E동 북쪽 계단,2.7
신공학관 1층 입구,신공학관 1층 주출입구,15.6
신공학관 1층 입구,신공학관 1층 부출입구,19.2
신공학관 1층 주출입구,신공학관 1층 주출입구 앞 갈림길,11
신공학관 1층 주출입구 앞 갈림길,신공학관 1108,7.7
신공학관 1108,신공학관 1층 중앙 엘리베이터,4.4
신공학관 1층 중앙 엘리베이터,신공학관 1층 북쪽 코너 A,3.3
신공학관 1층 북쪽 코너 A,신공학관 1층 중앙 계단,6.05
신공학관 1층 중앙 계단,신공학관 1116,4.35
신공학관 1116,신공학관 1117,2.15
신공학관 1117,신공학관 1층 화장실 갈림길 A,6.88
신공학관 1층 화장실 갈림길 A,신공학관 1층 화장실 갈림길 B,7.74
신공학관 1층 화장실 갈림길 B,신공학관 1174,2.15
신공학관 1174,신공학관 1층 주출입구 앞 갈림길,9.25
신공학관 1층 화장실 갈림길 B,신공학관 1172,3.44
신공학관 1172,신공학관 1층 남쪽 갈림길,7.31
신공학관 1층 화장실 갈림길 A,신공학관 1120,3.44
신공학관 1120,신공학관 1121,1.29
신공학관 1121,신공학관 1층 남쪽 코너 A,5.59
신공학관 1층 남쪽 코너 A,신공학관 1131,5.16
신공학관 1131,신공학관 1층 남쪽 갈림길,3.01
신공학관 1층 남쪽 갈림길,신공학관 1170,5.16
신공학관 1132,신공학관 1167,0
신공학관 1170,신공학관 1132,9.46
신공학관 1170,신공학관 1167,9.46
신공학관 1132,신공학관 1층 남쪽 코너 B,3.44
신공학관 1167,신공학관 1층 남쪽 코너 B,3.44
신공학관 1층 남쪽 코너 B,신공학관 1135,7.74
신공학관 1135,신공학관 1층 남쪽 엘리베이터(남쪽 계단 A),2.58
신공학관 1층 남쪽 엘리베이터(남쪽 계단 A),신공학관 1137,3.01
신공학관 1137,신공학관 1층 부출입구 갈림길,3.01
신공학관 1층 부출입구 갈림길,신공학관 1층 부출입구,11.78
신공학관 1층 부출입구 갈림길,신공학관 1층 남쪽 계단 B,2.15
신공학관 1층 남쪽 계단 B,신공학관 1140,3.01
신공학관 2171,신공학관 2층 북쪽 계단,6.45
신공학관 2층 북쪽 계단,신공학관 2102,3.87
신공학관 2102,신공학관 2105,12.9
신공학관 2105,신공학관 2층 북쪽 코너 C,8.6
신공학관 2층 북쪽 코너 C,신공학관 2층 북쪽 코너 B,3.01
신공학관 2층 북쪽 코너 B,신공학관 2107,2.58
신공학관 2107,신공학관 2층 중앙 엘리베이터,1.075
신공학관 2층 중앙 엘리베이터,신공학관 2층 북쪽 코너 A,3.655
신공학관 2층 북쪽 코너 A,신공학관 2112,3.44
신공학관 2112,신공학관 2층 중앙 계단,1.72
신공학관 2층 중앙 계단,신공학관 2층 화장실 갈림길 A,13.33
신공학관 2층 화장실 갈림길 A,신공학관 2119,2.58
신공학관 2119,신공학관 2120,3.87
신공학관 2120,신공학관 2층 남쪽 코너 A,4.3
신공학관 2124,신공학관 2층 남쪽 갈림길 A,0
신공학관 2층 남쪽 코너 A,신공학관 2124,8.17
신공학관 2층 남쪽 코너 A,신공학관 2층 남쪽 갈림길 A,8.17
신공학관 2124,신공학관 2184,8.17
신공학관 2층 남쪽 갈림길 A,신공학관 2184,8.17
신공학관 2184,신공학관 2층 화장실 갈림길 B,2.58
신공학관 2층 화장실 갈림길 B,신공학관 2층 화장실 갈림길 A,7.74
신공학관 2층 화장실 갈림길 B,신공학관 2187,6.45
신공학관 2187,신공학관 2층 북쪽 코너 B,11.61
신공학관 2124,신공학관 2층 남쪽 갈림길 A,0
신공학관 2127,신공학관 2183,0
신공학관 2124,신공학관 2127,15.05
신공학관 2124,신공학관 2183,15.05
신공학관 2층 남쪽 갈림길 A,신공학관 2127,15.05
신공학관 2층 남쪽 갈림길 A,신공학관 2183,15.05
신공학관 2127,신공학관 2층 남쪽 갈림길 B,3.01
신공학관 2183,신공학관 2층 남쪽 갈림길 B,3.01
신공학관 2층 남쪽 갈림길 B,신공학관 2층 남쪽 코너 B,7.74
신공학관 2층 남쪽 코너 B,신공학관 2층 남쪽 엘리베이터 (남쪽 계단 A),3.01
신공학관 남쪽 엘리베이터 (남쪽 계단 A),신공학관 2층 남쪽 계단 B,7.74
신공학관 2층 남쪽 계단 B,신공학관 2136,2.58
신공학관 2136,신공학관 2층 남쪽 코너 C,5.59
신공학관 2층 남쪽 코너 C,신공학관 2152,3.01
신공학관 2152,신공학관 2층 남쪽 코너 D,5.59
신공학관 2층 남쪽 코너 D,신공학관 2139,1.72
신공학관 2139,신공학관 2141,7.31
신공학관 2144,신공학관 2150,0
신공학관 2141,신공학관 2144,9.03
신공학관 2141,신공학관 2150,9.03
신공학관 2층 남쪽 갈림길 B,신공학관 2층 중앙 코너 A,3.87
신공학관 2층 중앙 코너 A,신공학관 2층 중앙 코너 B,3.01
신공학관 2층 중앙 코너 B,신공학관 2158,7.31
신공학관 2158,신공학관 2166,6.02
신공학관 2166,신공학관 2층 북쪽 계단,11.18
신공학관 3층 외부 출입구,신공학관 3층 북쪽 코너 A,2.365
신공학관 3층 북쪽 코너 A,신공학관 3층 북쪽 갈림길 A,2.58
신공학관 3층 북쪽 갈림길 A,신공학관 3층 북쪽 계단,5.16
신공학관 3층 북쪽 계단,신공학관 3101,2.15
신공학관 3101,신공학관 3163,4.3
신공학관 3163,신공학관 3106,2.58
신공학관 3106,신공학관 3165,3.44
신공학관 3165,신공학관 3166,3.01
